A1|24      HORTIFRUTI DO CHEF LTDA                                               AV Dr Gastao Vidigal                    1946  PV  AMB  BOX  16 B  Vila Leopoldina     Sao Paulo           SP0531400012607393000185    147521337116                03550308
B2|SNF 1    21181    2692          5102    43           Batata Asterix                                    00000000003000000010000000100000000000000000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    361          Cebola Grauda                                     00000000005000000010000000100000000000000000002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    440          Cebola Roxa                                       00000000003000000010000000100000000000000000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    111          Laranja Pera                                      00000000010000000200000002000000000000000000002600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21181    2692          5102    444          Ovo Extra                                         00000000006000000030000000300000000000000000008340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B1|SNF 1    21182    2727                01042019010420195102            N00000 0000000000000000000 000000000000000000000000000000000 0000000000000000000000000000000000000000000          000000000000000             0                                           0000000000        000N0NN                                                                                                                                  00000            0                                            
B2|SNF 1    21182    2727          5102    05           Alecrim                                           00000000000180000002000000020000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21182    2727          5102    012          Broto de Alfafa                                   00000000000300000010000000100000000000000000001350000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21182    2727          5102    015          Ciboleti                                          00000000000200000010000000100000000000000000000960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21182    2727          5102    509          Manjericao basilicao                              00000000000200000000000000000000000000000000000780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21182    2727          5102    037          Manjericao                                        00000000000100000002000000020000000000000000000220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21182    2727          5102    059          Salsa Crespa                                      00000000000150000010000000100000000000000000000570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21182    2727          5102    064          Tomilho                                           00000000000100000010000000100000000000000000000390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
